# RA DEC 
52.313766 -28.9471984 
52.923131 -28.855267 
52.9769009 -28.826295 
52.4592257 -28.7992913 
52.6717783 -28.7833534 
52.9887953 -28.7360704 
52.9871684 -28.7353243 
52.8642275 -28.7035282 
52.4313154 -28.6963714 
52.4064442 -28.6944488 
52.2850143 -28.637388 
52.2780278 -28.6322687 
51.8648653 -28.6252437 
53.2912752 -28.5439258 
52.4869081 -28.5406476 
52.3618 -28.5304385 
52.8717285 -28.498288 
53.2893538 -28.4910709 
53.0234991 -28.4901944 
51.7934297 -28.4844339 
52.8893662 -28.4853647 
52.4688518 -28.4774825 
52.6168697 -28.472459 
53.4133614 -28.4602451 
52.6811064 -28.4502033 
53.2747786 -28.4164498 
53.3102176 -28.3971704 
52.7972761 -28.3756916 
52.8028903 -28.3658632 
53.2731256 -28.3640416 
53.1622258 -28.3185076 
52.1573179 -28.3175955 
53.0198423 -28.3045343 
53.3299917 -28.2980961 
53.1103263 -28.2911587 
52.5509026 -28.2831407 
52.6200801 -28.2308461 
53.479191 -28.2062022 
52.0107514 -28.2045507 
53.786004 -28.1660651 
52.6601821 -28.1692158 
53.7781593 -28.1640283 
53.4001519 -28.1561709 
52.2822087 -28.1531894 
53.6546929 -28.1378114 
52.3787992 -28.0728207 
52.5766951 -28.0326181 
53.458676 -28.0047532 
51.6386344 -27.9996988 
53.463067 -28.001279 
52.9299545 -27.8856029 
53.2257705 -27.8644357 
52.3402372 -27.8246616 
53.5394255 -27.8109604 
52.3691472 -27.7969835 
52.905159 -27.7932568 
52.5362857 -27.7584894 
51.9094844 -27.7211763 
52.2255027 -27.7068993 
52.0008423 -27.7004323 
51.8838967 -27.6763408 
53.2795213 -27.6302535 
52.9461982 -27.6246097 
52.2893727 -27.588614 
52.2190987 -27.5806001 
52.8652773 -27.5702238 
52.0559777 -27.5685664 
51.8392809 -27.5564796 
51.9360816 -27.5372345 
52.4389062 -27.3867207 
52.4845227 -27.3334055 
52.8731963 -27.216972 
52.9046502 -27.1772636 
52.3070462 -27.1521998 
52.3417745 -27.148989 
