# RA DEC 
357.6644355 -31.7907447 
357.6796059 -31.7898625 
357.3557877 -31.7763743 
356.9448252 -31.6590452 
357.4399618 -31.6501793 
357.0926958 -31.6315685 
357.1743567 -31.5669593 
357.3358677 -31.5053797 
357.0711837 -31.5052617 
357.1603832 -31.4918876 
356.7152189 -31.3250563 
357.0721577 -31.2842465 
358.0206098 -31.2723894 
356.2139177 -31.2338277 
357.2879463 -31.189836 
357.6194558 -31.1761802 
358.0475779 -31.1693941 
357.9206065 -31.0132067 
356.4582302 -31.0084228 
356.4143256 -31.0061436 
357.949557 -31.0007405 
358.2192107 -30.9949032 
358.2086582 -30.989737 
356.2005901 -30.9888693 
356.1999794 -30.9887146 
356.7181194 -30.9519502 
357.1388765 -30.902841 
358.1636361 -30.8641674 
356.2970684 -30.7368346 
356.3787735 -30.7110442 
356.4106461 -30.68514 
357.3465311 -30.6761086 
356.2433651 -30.6712131 
357.7374158 -30.6713742 
357.7015838 -30.67212 
357.7713109 -30.6677024 
357.0511111 -30.5428658 
356.8027201 -30.5104234 
356.9344375 -30.50542 
357.2334366 -30.5029578 
356.1318424 -30.4599403 
356.5562511 -30.4508988 
356.910632 -30.4299297 
356.1536081 -30.4178967 
357.0875718 -30.4012379 
356.8383582 -30.3815384 
357.3576273 -30.3444746 
357.8483552 -30.3354263 
357.4935829 -30.1954567 
357.0043336 -30.1882596 
357.2533282 -30.1873966 
357.6975773 -30.1823788 
357.8051312 -30.1803446 
356.9623615 -30.1803962 
356.6122221 -30.1698844 
357.4311795 -30.0502745 
357.6523357 -30.0294391 
