# RA DEC 
356.9864406 -31.2318671 
357.3620929 -31.2247071 
357.3025761 -31.180374 
357.3603353 -31.174385 
357.159073 -31.1738215 
357.4340217 -31.0259917 
357.5402911 -31.0078218 
357.476826 -30.9994286 
356.9840777 -30.9842149 
357.1201266 -30.9654573 
357.306504 -30.955821 
357.5253772 -30.947562 
357.4207756 -30.9419416 
357.1981365 -30.876075 
357.2620076 -30.8677295 
357.4353205 -30.8521407 
357.3794928 -30.8501348 
357.2455624 -30.8370631 
357.4009334 -30.8278268 
357.5110668 -30.7503522 
357.2666618 -30.6841308 
357.2207876 -30.6762007 
357.3242122 -30.6180866 
357.2645254 -30.5210168 
357.2333495 -30.5029578 
