# RA DEC 
52.9769865 -28.8262948 
52.6717783 -28.7833534 
52.3618 -28.5304385 
51.9017739 -28.4952179 
53.3299917 -28.2980961 
52.4991184 -28.2383125 
51.980679 -28.2362704 
51.8437086 -28.2072336 
53.4002369 -28.1561704 
52.5748109 -28.1331801 
51.6630578 -28.0838642 
51.732413 -28.0539148 
51.7420029 -28.0259357 
53.4488404 -27.9712135 
51.9855332 -27.8681029 
53.103369 -27.8203179 
52.5368212 -27.8013843 
53.6532497 -27.7802919 
52.5362857 -27.7584894 
52.484851 -27.7562513 
52.9510264 -27.7281595 
52.2297929 -27.6734688 
52.9183917 -27.6425067 
52.2190987 -27.5806001 
51.8810698 -27.4752204 
52.4389062 -27.3867207 
53.2232571 -27.380713 
52.0667507 -27.3699865 
52.5712842 -27.3454226 
52.4708218 -27.3036935 
52.9046502 -27.1772636 
