#Angstrom PHOTLAM 
3955.0 2.2193796781065692e-29 
3962.91 2.136699798723992e-29 
3970.82 2.057423080287416e-29 
3978.73 1.981401254961304e-29 
3986.64 1.9084927870549157e-29 
3994.55 1.8385625580659258e-29 
4002.46 1.771481566790709e-29 
4010.37 1.7071266437685953e-29 
4018.28 1.6453801793639693e-29 
4026.19 1.5861298648240003e-29 
4034.1 1.5292684456825894e-29 
4042.01 1.4746934869114074e-29 
4049.92 1.4223071492492258e-29 
4057.83 1.372015976167512e-29 
4065.7400000000002 1.3237306909580312e-29 
4073.65 1.2773660034523698e-29 
4081.56 1.2328404259080979e-29 
4089.4700000000003 1.1900760976182168e-29 
4097.38 1.1489986178234925e-29 
4105.29 1.109536886526404e-29 
4113.2 1.0716229528261442e-29 
4121.11 1.0351918704121959e-29 
4129.02 1.0001815598719739e-29 
4136.93 9.665326774846143e-30 
4144.84 9.341884901891248e-30 
4152.75 9.030947564303689e-30 
4160.66 8.731996126008064e-30 
4168.57 8.444534648094508e-30 
4176.4800000000005 8.168088857229823e-30 
4184.39 7.902205162359258e-30 
4192.3 7.646449717390287e-30 
4200.21 7.400407527659627e-30 
4208.12 7.163681598091446e-30 
4216.03 6.935892121059181e-30 
4223.9400000000005 6.716675702055198e-30 
4231.85 6.505684621370605e-30 
4239.76 6.302586130067238e-30 
4247.67 6.10706177861443e-30 
4255.58 5.918806776637217e-30 
4263.49 5.737529382299884e-30 
4271.4 5.562950319917956e-30 
4279.31 5.394802224464846e-30 
4287.22 5.2328291116953795e-30 
4295.13 5.0767858726799524e-30 
4303.04 4.9264377915926975e-30 
4310.95 4.781560085658439e-30 
4318.86 4.641937466212466e-30 
4326.77 4.507363719880718e-30 
4334.68 4.377641308932197e-30 
4342.59 4.252580989903462e-30 
4350.5 4.132001449638507e-30 
4358.41 4.01572895792551e-30 
4366.32 3.903597035955219e-30 
4374.2300000000005 3.795446139858971e-30 
4382.14 3.6911233586240544e-30 
4390.05 3.590482125712354e-30 
4397.96 3.493381943747078e-30 
4405.87 3.399688121655714e-30 
4413.78 3.3092715236925786e-30 
4421.6900000000005 3.222008329787532e-30 
4429.6 3.1377798066970602e-30 
4437.51 3.0564720894552176e-30 
4445.42 2.977975972650091e-30 
4453.33 2.9021867110705912e-30 
4461.24 2.8290038292913525e-30 
4469.15 2.7583309397841167e-30 
4477.06 2.6900755691635833e-30 
4484.97 2.6241489921930356e-30 
4492.88 2.5604660731949568e-30 
4500.79 2.49894511452651e-30 
4508.7 2.439507711797408e-30 
4516.61 2.3820786155215846e-30 
4524.52 2.326585598910217e-30 
4532.43 2.272959331525737e-30 
4540.34 2.221133258531142e-30 
4548.25 2.1710434852805044e-30 
4556.16 2.1226286670088284e-30 
4564.07 2.0758299033910537e-30 
4571.9800000000005 2.030590637750395e-30 
4579.89 1.986856560706611e-30 
4587.8 1.9445755180652863e-30 
4595.71 1.9036974227569208e-30 
4603.62 1.8641741706462548e-30 
4611.53 1.8259595600376447e-30 
4619.4400000000005 1.7890092147125275e-30 
4627.35 1.7532805103427218e-30 
4635.26 1.71873250412871e-30 
4643.17 1.6853258675218135e-30 
4651.08 1.6530228218934175e-30 
4658.99 1.6217870770225154e-30 
4666.9 1.591583772277754e-30 
4674.81 1.5623794203766774e-30 
4682.72 1.5341418536100902e-30 
4690.63 1.5068401724248024e-30 
4698.54 1.480444696262729e-30 
4706.45 1.4549269165600653e-30 
4714.36 1.4302594518134868e-30 
4722.27 1.4064160046257852e-30 
4730.18 1.383371320647076e-30 
4738.09 1.3611011493316881e-30 
4746.0 1.3395822064349046e-30 
4753.91 1.3187921381768315e-30 
4761.82 1.2987094870050784e-30 
4769.7300000000005 1.2793136588899283e-30 
4777.64 1.2605848920906264e-30 
4785.55 1.2425042273322545e-30 
4793.46 1.2250534793380026e-30 
4801.37 1.2082152096622236e-30 
4809.28 1.1919727007740762e-30 
4817.1900000000005 1.1763099313428369e-30 
4825.1 1.1612115526792638e-30 
4833.01 1.1466628662896475e-30 
4840.92 1.1326498025007459e-30 
4848.83 1.1191589001170336e-30 
4856.74 1.1061772870731978e-30 
4864.65 1.0936926620465998e-30 
4872.56 1.081693276997179e-30 
4880.47 1.0701679206035673e-30 
4888.38 1.0591059025658799e-30 
4896.29 1.0484970387479405e-30 
4904.2 1.0383316371332661e-30 
4912.11 1.0286004845704254e-30 
4920.02 1.0192948342852782e-30 
4927.93 1.0104063941393398e-30 
4935.84 1.0019273156149844e-30 
4943.75 9.938501835091389e-31 
4951.66 9.861680063194756e-31 
4959.57 9.788742073082232e-31 
4967.4800000000005 9.719626162294874e-31 
4975.39 9.654274617086397e-31 
4983.3 9.592633642627432e-31 
4991.21 9.534653299524292e-31 
4999.12 9.480287446577812e-31 
5007.03 9.42949368971176e-31 
5014.9400000000005 9.38223333702104e-31 
5022.85 9.33847135989863e-31 
5030.76 9.298176360221853e-31 
5038.67 9.26132054357938e-31 
5046.58 9.227879698550278e-31 
5054.49 9.197833182048326e-31 
5062.4 9.17116391076403e-31 
5070.31 9.147858358756265e-31 
5078.22 9.127906561250489e-31 
5086.13 9.111302124725125e-31 
5094.04 9.09804224338353e-31 
5101.95 9.088127722115284e-31 
5109.86 9.081563006085368e-31 
5117.77 9.078356217089827e-31 
5125.68 9.078519196848852e-31 
5133.59 9.082067557419238e-31 
5141.5 9.089020738933721e-31 
5149.41 9.099402074893488e-31 
5157.32 9.113238865260002e-31 
5165.2300000000005 9.130562457626587e-31 
5173.14 9.151408336756097e-31 
5181.05 9.175816222819432e-31 
5188.96 9.203830178678346e-31 
5196.87 9.235498726594118e-31 
5204.78 9.27087497477584e-31 
5212.6900000000005 9.310016754208993e-31 
5220.6 9.352986766242875e-31 
5228.51 9.399852741453213e-31 
5236.42 9.450687610329514e-31 
5244.33 9.505569686390729e-31 
5252.24 9.564582862357674e-31 
5260.150000000001 9.627816820080172e-31 
5268.06 9.695367254946151e-31 
5275.97 9.767336115569546e-31 
5283.88 9.84383185960298e-31 
5291.79 9.924969726582036e-31 
5299.7 1.00108720287781e-30 
5307.61 1.0101668461103146e-30 
5315.52 1.019749643118453e-30 
5323.43 1.0298501410811911e-30 
5331.34 1.0404837310036534e-30 
5339.25 1.0516666875306835e-30 
5347.16 1.063416211310962e-30 
5355.07 1.0757504740706377e-30 
5362.9800000000005 1.0886886665654294e-30 
5370.89 1.1022510495932396e-30 
5378.8 1.1164590082626914e-30 
5386.71 1.1313351097256763e-30 
5394.62 1.1469031645995087e-30 
5402.53 1.1631882923177544e-30 
5410.4400000000005 1.180216990669403e-30 
5418.35 1.1980172098022077e-30 
5426.26 1.2166184309884897e-30 
5434.17 1.2360517504725948e-30 
5442.08 1.2563499687425032e-30 
5449.99 1.2775476855951611e-30 
5457.900000000001 1.2996814013909187e-30 
5465.81 1.3227896249227223e-30 
5473.72 1.3469129883582579e-30 
5481.63 1.3720943697474956e-30 
5489.54 1.3983790236246723e-30 
5497.45 1.4258147202753482e-30 
5505.36 1.4544518942823117e-30 
5513.27 1.484343803010512e-30 
5521.18 1.515546695743838e-30 
5529.09 1.5481199942398857e-30 
5537.0 1.5821264855301883e-30 
5544.91 1.6176325278571548e-30 
5552.82 1.6547082707091253e-30 
5560.7300000000005 1.69342788999145e-30 
5568.64 1.733869839452848e-30 
5576.55 1.7761171195767494e-30 
5584.46 1.820257565242562e-30 
5592.37 1.866384153568436e-30 
5600.28 1.914595333460105e-30 
5608.1900000000005 1.9649953785145428e-30 
5616.1 2.017694765061293e-30 
5624.01 2.0728105772714078e-30 
5631.92 2.1304669414212952e-30 
5639.83 2.1907954915737256e-30 
5647.74 2.2539358691230973e-30 
5655.650000000001 2.320036258860839e-30 
5663.56 2.389253964434941e-30 
5671.47 2.4617560263241053e-30 
5679.38 2.537719885708707e-30 
5687.29 2.6173340979103045e-30 
5695.2 2.700799099384774e-30 
5703.11 2.788328032597645e-30 
5711.02 2.8801476334822756e-30 
5718.93 2.97649918659254e-30 
5726.84 3.077639553505635e-30 
5734.75 3.183842280515695e-30 
5742.66 3.295398792197384e-30 
5750.57 3.412619677992364e-30 
5758.4800000000005 3.535836079615036e-30 
5766.39 3.665401187767467e-30 
5774.3 3.801691857414169e-30 
5782.21 3.945110351706988e-30 
5790.12 4.096086225561744e-30 
5798.03 4.255078360889963e-30 
5805.9400000000005 4.4225771665942354e-30 
5813.85 4.5991069576328206e-30 
5821.76 4.7852285287929796e-30 
5829.67 4.981541940253884e-30 
5837.58 5.188689533625595e-30 
5845.49 5.407359198898605e-30 
5853.400000000001 5.638287914666394e-30 
5861.31 5.88226558610077e-30 
5869.22 6.14013920749806e-30 
5877.13 6.41281737877099e-30 
5885.04 6.70127520809244e-30 
5892.95 7.006559636009714e-30 
5900.86 7.329795219773835e-30 
5908.77 7.672190420413465e-30 
5916.68 8.035044439256096e-30 
5924.59 8.419754655194237e-30 
5932.5 8.827824719086926e-30 
5940.41 9.26087336728598e-30 
5948.32 9.720644022493449e-30 
5956.2300000000005 1.0209015257000126e-29 
5964.14 1.0728012200936066e-29 
5972.05 1.1279818986571557e-29 
5979.96 1.1866792328963213e-29 
5987.87 1.2491476353557597e-29 
5995.78 1.315661879273238e-29 
6003.6900000000005 1.3865188685904465e-29 
6011.6 1.4620395731832837e-29 
6019.51 1.542571145729726e-29 
6027.42 1.6284892383572053e-29 
6035.33 1.7202005391289463e-29 
6043.24 1.818145550557041e-29 
6051.150000000001 1.9228016346965452e-29 
6059.06 2.0346863520074167e-29 
6066.97 2.1543611240984163e-29 
6074.88 2.2824352537300783e-29 
6082.79 2.419570339080476e-29 
6090.7 2.5664851233286336e-29 
6098.61 2.7239608251175475e-29 
6106.52 2.8928470004904335e-29 
6114.43 3.074067992511342e-29 
6122.34 3.268630031045701e-29 
6130.25 3.477629052181518e-29 
6138.16 3.7022593145965954e-29 
6146.07 3.9438228989303303e-29 
