#Name RA Dec z_band z_band_err NB964_band NB964_err
QSO 23:48:33.33 30:54:10.23 22.19 0.01 20.86  0.01
LAE-1 23:50:39.46 31:47:26.41 24.97 0.16 24.11 0.12
LAE-2 23:49:25.39 31:46:34.95 26.07 0.43 24.73 0.22
LAE-3 23:49:45.53 31:39:01.46 25.74 0.33 24.59 0.19
LAE-4 23:48:22.23 31:37:53.92 25.93 0.38 24.46 0.17
LAE-5 23:48:17.08 31:30:18.94 26.09 0.45 23.59 0.07
LAE-6 23:46:51.65 31:19:29.93 25.85 0.36 24.37 0.16
LAE-7 23:52:04.95 31:16:20.60 25.38 0.24 23.50 0.07
LAE-8 23:44:51.34 31:14:01.78 25.99 0.42 24.08 0.12
LAE-9 23:49:09.11 31:11:23.68 25.84 0.36 24.53 0.18
LAE-10 23:48:38.18 31:10:25.4 26.12 0.47 24.49 0.18
LAE-11 23:52:11.44 31:10:09.8 25.55 0.28 24.47 0.18
LAE-12 23:50:09.67 31:00:28.4 25.54 0.28 24.20 0.14
LAE-13 23:52:50.08 30:59:23.0 25.81 0.36 24.37 0.16
LAE-14 23:46:52.33 30:57:07.0 26.07 0.44 24.66 0.22
LAE-15 23:52:39.27 30:51:50.7 25.44 0.27 24.32 0.16
LAE-16 23:51:42.32 30:50:46.9 25.33 0.23 24.46 0.16
LAE-17 23:45:30.76 30:50:42.2 25.86 0.37 24.72 0.22
LAE-18 23:45:38.56 30:41:06.2 25.69 0.32 24.28 0.14
LAE-19 23:50:56.96 30:40:16.9 26.03 0.43 24.07 0.12
LAE-20 23:46:20.25 30:40:03.9 25.38 0.24 24.57 0.19
LAE-21 23:48:12.27 30:32:34.3 26.02 0.42 24.22 0.14
LAE-22 23:44:45.07 30:31:07.1 26.05 0.45 24.52 0.18
LAE-23 23:47:37.50 30:28:28.3 25.53 0.27 24.60 0.20
LAE-24 23:44:31.64 30:27:35.7 25.39 0.24 24.41 0.17
LAE-25 23:47:38.55 30:25:47.7 25.33 0.23 24.49 0.18
LAE-26 23:44:36.91 30:25:04.4 25.95 0.40 23.97 0.11
LAE-27 23:48:21.02 30:24:04.1 26.00 0.41 24.52 0.18
LAE-28 23:47:21.19 30:22:53.5 25.63 0.30 23.84 0.10
LAE-29 23:46:27.28 30:21:51.5 25.52 0.27 24.40 0.16
LAE-30 23:49:27.05 30:21:25.9 25.65 0.30 24.61 0.19
LAE-31 23:50:27.20 30:21:13.3 25.50 0.27 24.26 0.14
LAE-32 23:45:02.91 30:12:32.8 25.96 0.39 24.73 0.21
LAE-33 23:49:34.65 30:12:40.4 25.66 0.31 24.52 0.18
LAE-34 23:50:23.24 30:10:45.4 26.13 0.48 24.62 0.20
LAE-35 23:50:45.07 30:05:13.3 25.34 0.23 24.32 0.15
LAE-36 23:49:43.48 30:03:01.2 25.55 0.28 24.31 0.15
LAE-37 23:50:36.54 30:01:46.7 25.45 0.25 24.58 0.19
LAE-38 23:48:43.58 29:53:13.9 25.80 0.36 24.70 0.22
